order,family,subfamily,genus,specificEpithet,scientificName,taxonRank,scientificNameAuthorship,identificationQualifier,originalNameUsage
Zoraptera,Spiralizoridae,,,,Spiralizoridae,family,"Kočárek, Horká & Kundrata, 2020",,"Spiralizoridae Kočárek, Horká & Kundrata, 2020"
Zoraptera,Zorotypidae,,,,Zorotypidae,family,"Silvestri, 1913",,"Zorotypidae Silvestri, 1913"
Zoraptera,Spiralizoridae,Spiralizorinae,,,Spiralizorinae,subfamily,"Kočárek, Horká & Kundrata, 2020",,"Spiralizorinae Kočárek, Horká & Kundrata, 2020"
Zoraptera,Spiralizoridae,Latinozorinae,,,Latinozorinae,subfamily,"Kočárek, Horká & Kundrata, 2020",,"Latinozorinae Kočárek, Horká & Kundrata, 2020"
Zoraptera,Zorotypidae,Spermozorinae,,,Spermozorinae,subfamily,"Kočárek, Horká & Kundrata, 2020",,"Spermozorinae Kočárek, Horká & Kundrata, 2020"
Zoraptera,Zorotypidae,Zorotypinae,,,Zorotypinae,subfamily,"Silvestri, 1913",,"Zorotypinae Silvestri, 1913"
Zoraptera,Spiralizoridae,Spiralizorinae,Brazilozoros,,Brazilozoros,genus,"Kukalova-Peck & Peck, 1993",,"Brazilozoros Kukalova-Peck & Peck, 1993"
Zoraptera,Spiralizoridae,Spiralizorinae,Centrozoros,,Centrozoros,genus,"Kukalova-Peck & Peck, 1993",,"Centrozoros Kukalova-Peck & Peck, 1993"
Zoraptera,Spiralizoridae,Latinozorinae,Latinozoros,,Latinozoros,genus,"Kukalova-Peck & Peck, 1993",,"Latinozoros Kukalova-Peck & Peck, 1993"
Zoraptera,Zorotypidae,Spermozorinae,Spermozoros,,Spermozoros,genus,"Kočárek, Horká & Kundrata, 2020",,"Spermozoros Kočárek, Horká & Kundrata, 2020"
Zoraptera,Spiralizoridae,Spiralizorinae,Spiralizoros,,Spiralizoros,genus,"Kočárek, Horká & Kundrata, 2020",,"Spiralizoros Kočárek, Horká & Kundrata, 2020"
Zoraptera,Spiralizoridae,Spiralizorinae,Cordezoros,,Cordezoros,genus,"Gurney, 1939",,"Cordezoros Gurney, 1939"
Zoraptera,Zorotypidae,Zorotypinae,Zorotypus,,Zorotypus,genus,"Silvestri, 1913",,"Zorotypus Silvestri, 1913"
Zoraptera,Spiralizoridae,Spiralizorinae,Scapulizoros,,Scapulizoros,genus,"Kočárek, Horká & Kundrata, 2020",,"Scapulizoros Kočárek, Horká & Kundrata, 2020"
Zoraptera,Zorotypidae,Zorotypinae,Usazoros,,Usazoros,genus,"Kukalova-Peck & Peck, 1993",,"Usazoros Kukalova-Peck & Peck, 1993"
Zoraptera,Spiralizoridae,Spiralizorinae,Aspiralizoros,,Aspiralizoros,genus,"Kočárek & Kočárková, 2024",,"Aspiralizoros Kočárek & Kočárková, 2024"
Zoraptera,Spiralizoridae,Spiralizorinae,Cordezoros,zimmermani,Cordezoros zimmermani,species,"(Gurney, 1939)",,"Zorotypus zimmermani Gurney, 1939"
Zoraptera,Zorotypidae,Spermozorinae,Spermozoros,weiweii,Spermozoros weiweii,species,"(Wang, Li & Cai, 2016)",,"Zorotypus weiweii Wang, Li & Cai, 2016"
Zoraptera,Spiralizoridae,Spiralizorinae,Brazilozoros,weidneri,Brazilozoros weidneri,species,"(New, 1978)",,"Zorotypus weidneri New, 1978"
Zoraptera,Zorotypidae,Zorotypinae,Zorotypus,vinsoni,Zorotypus vinsoni,species,"Paulian, 1951",,"Zorotypus vinsoni Paulian, 1951"
Zoraptera,,,,swezeyi,Zorotypus swezeyi,species,"Caudell, 1922",,"Zorotypus swezeyi Caudell, 1926"
Zoraptera,Spiralizoridae,Spiralizorinae,Centrozoros,snyderi,Centrozoros snyderi,species,"(Caudell, 1920)",,"Zorotypus snyderi Caudell, 1920"
Zoraptera,Zorotypidae,Spermozorinae,Spermozoros,sinensis,Spermozoros sinensis,species,"(Huang, 1974)",,"Zorotypus sinensis Huang, 1974"
Zoraptera,Spiralizoridae,Spiralizorinae,Spiralizoros,silvestrii,Spiralizoros silvestrii,species,"(Karny, 1927)",,"Zorotypus silvestrii Karny, 1927"
Zoraptera,Zorotypidae,Zorotypinae,Zorotypus,shannoni,Zorotypus shannoni,species,"Gurney, 1938",,"Zorotypus shannoni Gurney, 1938"
Zoraptera,,,,sechellensis,Zorotypus sechellensis,species,"Zompro, 2005",,"Zorotypus sechellensis Zompro, 2005"
